"","nHMM.1","nHMM.2","nHMM.3","nHMM.4"
"in.ctx","0.304894614731893","-0.416692264843732","-0.333942980039865","-0.139277148758993"
"in.V1","0.958662340280888","-0.233470905004115","0.359945035189513","0.0630760363706388"
"in.V2","0.666364249273834","-0.203264545082182","0.935140339531174","0.345818217947342"
"in.V3","0.69415035190551","-0.215184262221389","0.960950569588857","-0.0272152575069356"
"in.V4","1.0584896486697","-0.203871222942132","-0.123154503679077","0.60108092881827"
"in.V5","-0.141737382384277","0.74096141717693","0.169419632121528","1.3787314135281"
"in.V6","0.518696166995819","1.30559925747478","0.335124028104236","-0.0053722626689588"
"in.V7","0.484308285667226","1.32747001594525","0.411538076095399","0.123328513485212"
"in.V8","0.207295366674447","0.92770426343525","-0.0893765228263778","1.05056060192374"
"","","","",""
"out.1","-11.311502055254","23.5034702165156","-4.23597785020971","6.3289431930521"
"out.2","20.2390301286459","-18.7554246582892","10.7512766796297","0.235552793049488"
